Timestamp,Source IP Address,Destination IP Address,Attack Type,Anomaly Scores,Action Taken,Protocol,Network Segment,Malware Indicators,Firewall Logs,IDS/IPS Alerts
2023-09-03 18:27:02,8.47.111.60,192.168.8.155,Phishing,72.96,Ignored,TCP,Finance,Detected,Log Data,Alert Triggered
2023-03-23 13:21:17,40.110.172.27,192.168.1.98,Phishing,74.5,Blocked,TCP,DMZ,Not Detected,Log Data,No Alert
2023-07-03 17:18:53,161.185.98.181,192.168.1.12,Malware,92.71,Ignored,UDP,IT,Not Detected,Log Data,No Alert
2023-03-12 11:13:42,69.36.87.137,192.168.3.42,Ransomware,80.9,Allowed,HTTP,Finance,Not Detected,Log Data,No Alert
2023-06-13 08:04:13,146.161.108.168,192.168.7.102,Malware,79.85,Blocked,HTTP,DMZ,Detected,No Log,Alert Triggered
2023-07-12 07:08:32,127.46.24.221,192.168.1.40,DDoS,86.31,Blocked,UDP,HR,Not Detected,Log Data,No Alert
2023-09-28 00:43:46,30.136.174.29,192.168.4.112,Ransomware,31.37,Ignored,UDP,Executive,Not Detected,Log Data,No Alert
2023-11-17 19:12:09,96.82.0.154,192.168.5.126,Intrusion,63.15,Allowed,TCP,IT,Not Detected,Log Data,Alert Triggered
2023-02-03 23:31:52,18.64.65.169,192.168.7.243,DDoS,84.63,Allowed,HTTPS,IT,Not Detected,Log Data,Alert Triggered
2023-04-23 09:25:42,167.191.224.231,192.168.8.116,DDoS,72.04,Allowed,TCP,DMZ,Not Detected,Log Data,No Alert
2023-11-02 07:04:57,9.169.36.132,192.168.3.72,Malware,16.03,Blocked,HTTP,Finance,Not Detected,Log Data,Alert Triggered
2023-07-07 03:06:42,111.181.216.106,192.168.7.222,Malware,50.2,Ignored,TCP,HR,Not Detected,Log Data,Alert Triggered
2023-09-15 04:27:11,72.236.127.224,192.168.1.114,Phishing,26.29,Blocked,HTTPS,Finance,Not Detected,No Log,Alert Triggered
2023-08-16 06:55:25,16.84.194.1,192.168.6.68,DDoS,24.14,Allowed,HTTP,DMZ,Not Detected,No Log,No Alert
2023-12-18 01:47:20,15.25.244.129,192.168.8.41,Malware,14.97,Ignored,TCP,DMZ,Not Detected,Log Data,Alert Triggered
2023-10-08 18:38:02,159.41.214.169,192.168.9.145,Unknown,44.32,Allowed,HTTPS,Finance,Detected,Log Data,No Alert
2023-05-15 10:59:48,19.4.234.160,192.168.9.26,Malware,67.09,Blocked,TCP,IT,Not Detected,Log Data,Alert Triggered
2023-03-15 17:45:19,157.4.153.239,192.168.10.27,Intrusion,41.41,Blocked,UDP,DMZ,Not Detected,No Log,No Alert
