Timestamp,hour,day_of_week,month,is_night,is_weekend,is_peak,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Traffic Type,Network Segment,Attack Type,Anomaly Scores,Action Taken,Malware Indicators,Firewall Logs,IDS/IPS Alerts,Alerts/Warnings,Proxy Information,Geo-location Data,malware_flag,has_firewall_log,has_ids_alert,was_ignored,was_blocked,via_proxy,repeated_ip,escalating_anomaly,anomaly_trend,predicted_severity,severity_confidence,risk_score,control_maturity,response_effectiveness,compliance_status,violation_type,rec_code
2020-01-01 00:43:27,0,2,1,1,0,0,159.63.40.232,84.35.86.112,30053,56285,UDP,DNS,Segment C,Intrusion,40.63,Blocked,IoC Detected,Log Data,Alert Data,Alert Triggered,121.217.243.18,"Baranagar, Mizoram",1,1,1,0,1,1,0,0,0.0,High,0.5846,53.22,100.0,100,Non-Compliant,Proxy-Evasion,47
2020-01-01 01:14:07,1,2,1,1,0,0,203.224.244.176,12.67.144.136,9478,57024,ICMP,DNS,Segment C,Malware,43.01,Blocked,IoC Detected,No Log,No Alert,Alert Triggered,101.246.69.68,"Bhiwandi, Bihar",1,0,0,0,1,1,0,0,0.0,High,0.6588,57.05,60.0,60,Non-Compliant,Missing-Log,37
2020-01-01 03:02:42,3,2,1,1,0,0,152.81.184.63,81.199.149.14,37238,23561,ICMP,DNS,Segment C,Malware,41.29,Logged,Not Detected,No Log,Alert Data,Alert Triggered,13.156.194.216,"Thoothukudi, Uttar Pradesh",0,0,1,0,0,1,0,0,0.0,Medium,0.5662,41.45,40.0,30,Non-Compliant,Missing-Log,37
2020-01-01 03:11:48,3,2,1,1,0,0,161.219.235.160,30.142.166.219,35780,26697,UDP,HTTP,Segment B,DDoS,46.7,Ignored,IoC Detected,Log Data,Alert Data,No Alert,Direct,"Patiala, Odisha",1,1,1,1,0,0,0,0,0.0,High,0.8257,66.34,40.0,40,Non-Compliant,Ignored-Event,31
2020-01-01 03:29:20,3,2,1,1,0,0,21.158.215.82,124.104.48.211,4056,31626,UDP,FTP,Segment C,DDoS,99.78,Ignored,Not Detected,No Log,No Alert,No Alert,221.191.39.129,"Sonipat, Odisha",0,0,0,1,0,1,0,0,0.0,High,0.787,71.92,0.0,0,Non-Compliant,Ignored-Event,28
2020-01-01 04:19:53,4,2,1,1,0,0,157.106.20.60,14.24.229.5,30519,58931,ICMP,FTP,Segment A,Intrusion,25.86,Logged,IoC Detected,Log Data,Alert Data,Alert Triggered,221.182.25.217,"Ulhasnagar, Chhattisgarh",1,1,1,0,0,1,0,1,-14.77,Medium,0.5367,48.05,60.0,50,Compliant,None,43
2020-01-01 04:30:19,4,2,1,1,0,0,44.217.33.10,167.51.188.39,1508,18208,TCP,DNS,Segment C,Intrusion,54.24,Blocked,Not Detected,Log Data,No Alert,No Alert,Direct,"Gulbarga, Bihar",0,1,0,0,1,0,0,0,11.23,Low,0.6384,28.98,80.0,70,Compliant,None,9
2020-01-01 05:17:19,5,2,1,1,0,0,98.253.138.239,142.229.49.219,30895,60147,TCP,FTP,Segment A,Intrusion,66.7,Logged,IoC Detected,Log Data,Alert Data,Alert Triggered,203.81.233.253,"Anand, Jharkhand",1,1,1,0,0,1,0,0,25.41,High,0.6847,62.34,60.0,50,Non-Compliant,Proxy-Evasion,47
2020-01-01 05:21:39,5,2,1,1,0,0,187.193.14.136,216.171.189.81,38883,41418,UDP,FTP,Segment A,DDoS,60.74,Blocked,IoC Detected,Log Data,Alert Data,No Alert,Direct,"Maheshtala, Gujarat",1,1,1,0,1,0,0,0,14.04,High,0.5743,56.26,100.0,90,Compliant,None,47
2020-01-01 06:37:14,6,2,1,0,0,0,43.86.163.245,131.45.55.22,15609,48612,ICMP,FTP,Segment B,Intrusion,45.28,Ignored,IoC Detected,No Log,Alert Data,No Alert,Direct,"Malegaon, Karnataka",1,0,1,1,0,0,0,0,-54.5,High,0.8128,63.85,20.0,20,Non-Compliant,Ignored-Event,27
