feature,severity_importance
Anomaly Scores,0.45150866283298824
Has_IDS_IPS_Alert,0.14683322047288724
Has_Alert_Warning,0.1330540431488262
Source Port,0.0573026724688193
Destination Port,0.05713507872770769
Packet Length,0.056918740371928976
Has_Malware_Indicator,0.008205681555808933
Has_Firewall_Log,0.008122596491919954
Has_Proxy,0.007824750770615225
Traffic Type_DNS,0.005516509648659189
Traffic Type_FTP,0.00546721955426325
Traffic Type_HTTP,0.005436646235039384
Network Segment_Segment A,0.0053687690299827505
Action Taken_Ignored,0.0053373341982629625
Network Segment_Segment C,0.005322676209881381
Action Taken_Blocked,0.005315360973327032
Protocol_TCP,0.0052960182445640535
Network Segment_Segment B,0.005247846559625884
Action Taken_Logged,0.005148288421162858
Protocol_ICMP,0.005104339010508037
Protocol_UDP,0.004917443342269677
Packet Type_Control,0.004848194745637119
Packet Type_Data,0.004767906985314594
